Money: 30000 ActiveVehicle: combine position: 184,328
Dirt@1016,360 state=0 crop=1
Dirt@1048,360 state=0 crop=1
Dirt@1080,360 state=0 crop=1
Dirt@1112,360 state=0 crop=1
Dirt@1144,360 state=0 crop=1
Dirt@1176,360 state=0 crop=1
Dirt@1208,360 state=0 crop=1
Dirt@1240,360 state=0 crop=1
Dirt@1272,360 state=0 crop=1
Dirt@1304,360 state=0 crop=1
Dirt@1336,360 state=0 crop=1
Dirt@1368,360 state=0 crop=1
Dirt@1400,360 state=0 crop=1
Dirt@1432,360 state=0 crop=1
Dirt@1464,360 state=0 crop=1
Dirt@1496,360 state=0 crop=1
Dirt@1528,360 state=0 crop=1
Dirt@1560,360 state=0 crop=1
Dirt@1592,360 state=0 crop=1
Dirt@1624,360 state=0 crop=1
Dirt@1656,360 state=0 crop=1
Dirt@1688,360 state=0 crop=1
Dirt@1720,360 state=0 crop=1
Dirt@600,392 state=0 crop=1
Dirt@632,392 state=0 crop=1
Dirt@664,392 state=0 crop=1
Dirt@696,392 state=0 crop=1
Dirt@728,392 state=0 crop=1
Dirt@760,392 state=0 crop=1
Dirt@792,392 state=0 crop=1
Dirt@824,392 state=0 crop=1
Dirt@856,392 state=0 crop=1
Dirt@888,392 state=0 crop=1
Dirt@920,392 state=0 crop=1
Dirt@952,392 state=0 crop=1
Dirt@984,392 state=0 crop=1
Dirt@1016,392 state=0 crop=1
Dirt@1048,392 state=0 crop=1
Dirt@1080,392 state=0 crop=1
Dirt@1112,392 state=0 crop=1
Dirt@1144,392 state=0 crop=1
Dirt@1176,392 state=0 crop=1
Dirt@1208,392 state=0 crop=1
Dirt@1240,392 state=0 crop=1
Dirt@1272,392 state=0 crop=1
Dirt@1304,392 state=0 crop=1
Dirt@1336,392 state=0 crop=1
Dirt@1368,392 state=0 crop=1
Dirt@1400,392 state=0 crop=1
Dirt@1432,392 state=0 crop=1
Dirt@1464,392 state=0 crop=1
Dirt@1496,392 state=0 crop=1
Dirt@1528,392 state=0 crop=1
Dirt@1560,392 state=0 crop=1
Dirt@1592,392 state=0 crop=1
Dirt@1624,392 state=0 crop=1
Dirt@1656,392 state=0 crop=1
Dirt@1688,392 state=0 crop=1
Dirt@1720,392 state=0 crop=1
Dirt@600,424 state=0 crop=1
Dirt@632,424 state=0 crop=1
Dirt@664,424 state=0 crop=1
Dirt@696,424 state=0 crop=1
Dirt@728,424 state=0 crop=1
Dirt@760,424 state=0 crop=1
Dirt@792,424 state=0 crop=1
Dirt@824,424 state=0 crop=1
Dirt@856,424 state=0 crop=1
Dirt@888,424 state=0 crop=1
Dirt@920,424 state=0 crop=1
Dirt@952,424 state=0 crop=1
Dirt@984,424 state=0 crop=1
Dirt@1016,424 state=0 crop=1
Dirt@1048,424 state=0 crop=1
Dirt@1080,424 state=0 crop=1
Dirt@1112,424 state=0 crop=1
Dirt@1144,424 state=0 crop=1
Dirt@1176,424 state=0 crop=1
Dirt@1208,424 state=0 crop=1
Dirt@1240,424 state=0 crop=1
Dirt@1272,424 state=0 crop=1
Dirt@1304,424 state=0 crop=1
Dirt@1336,424 state=0 crop=1
Dirt@1368,424 state=0 crop=1
Dirt@1400,424 state=0 crop=1
Dirt@1432,424 state=0 crop=1
Dirt@1464,424 state=0 crop=1
Dirt@1496,424 state=0 crop=1
Dirt@1528,424 state=0 crop=1
Dirt@1560,424 state=0 crop=1
Dirt@1592,424 state=0 crop=1
Dirt@1624,424 state=0 crop=1
Dirt@1656,424 state=0 crop=1
Dirt@1688,424 state=0 crop=1
Dirt@1720,424 state=0 crop=1
Dirt@600,456 state=0 crop=1
Dirt@632,456 state=0 crop=1
Dirt@664,456 state=0 crop=1
Dirt@696,456 state=0 crop=1
Dirt@728,456 state=0 crop=1
Dirt@760,456 state=0 crop=1
Dirt@792,456 state=0 crop=1
Dirt@824,456 state=0 crop=1
Dirt@856,456 state=0 crop=1
Dirt@888,456 state=0 crop=1
Dirt@920,456 state=0 crop=1
Dirt@952,456 state=0 crop=1
Dirt@984,456 state=0 crop=1
Dirt@1016,456 state=0 crop=1
Dirt@1048,456 state=0 crop=1
Dirt@1080,456 state=0 crop=1
Dirt@1112,456 state=0 crop=1
Dirt@1144,456 state=0 crop=1
Dirt@1176,456 state=0 crop=1
Dirt@1208,456 state=0 crop=1
Dirt@1240,456 state=0 crop=1
Dirt@1272,456 state=0 crop=1
Dirt@1304,456 state=0 crop=1
Dirt@1336,456 state=0 crop=1
Dirt@1368,456 state=0 crop=1
Dirt@1400,456 state=0 crop=1
Dirt@1432,456 state=0 crop=1
Dirt@1464,456 state=0 crop=1
Dirt@1496,456 state=0 crop=1
Dirt@1528,456 state=0 crop=1
Dirt@1560,456 state=0 crop=1
Dirt@1592,456 state=0 crop=1
Dirt@1624,456 state=0 crop=1
Dirt@1656,456 state=0 crop=1
Dirt@1688,456 state=0 crop=1
Dirt@1720,456 state=0 crop=1
Dirt@600,488 state=0 crop=1
Dirt@632,488 state=0 crop=1
Dirt@664,488 state=0 crop=1
Dirt@696,488 state=0 crop=1
Dirt@728,488 state=0 crop=1
Dirt@760,488 state=0 crop=1
Dirt@792,488 state=0 crop=1
Dirt@824,488 state=0 crop=1
Dirt@856,488 state=0 crop=1
Dirt@888,488 state=0 crop=1
Dirt@920,488 state=0 crop=1
Dirt@952,488 state=0 crop=1
Dirt@984,488 state=0 crop=1
Dirt@1016,488 state=0 crop=1
Dirt@1048,488 state=0 crop=1
Dirt@1080,488 state=0 crop=1
Dirt@1112,488 state=0 crop=1
Dirt@1144,488 state=0 crop=1
Dirt@1176,488 state=0 crop=1
Dirt@1208,488 state=0 crop=1
Dirt@1240,488 state=0 crop=1
Dirt@1272,488 state=0 crop=1
Dirt@1304,488 state=0 crop=1
Dirt@1336,488 state=0 crop=1
Dirt@1368,488 state=0 crop=1
Dirt@1400,488 state=0 crop=1
Dirt@1432,488 state=0 crop=1
Dirt@1464,488 state=0 crop=1
Dirt@1496,488 state=0 crop=1
Dirt@1528,488 state=0 crop=1
Dirt@1560,488 state=0 crop=1
Dirt@1592,488 state=0 crop=1
Dirt@1624,488 state=0 crop=1
Dirt@1656,488 state=0 crop=1
Dirt@1688,488 state=0 crop=1
Dirt@1720,488 state=0 crop=1
Dirt@600,520 state=0 crop=1
Dirt@632,520 state=0 crop=1
Dirt@664,520 state=0 crop=1
Dirt@696,520 state=0 crop=1
Dirt@728,520 state=0 crop=1
Dirt@760,520 state=0 crop=1
Dirt@792,520 state=0 crop=1
Dirt@824,520 state=0 crop=1
Dirt@856,520 state=0 crop=1
Dirt@888,520 state=0 crop=1
Dirt@920,520 state=0 crop=1
Dirt@952,520 state=0 crop=1
Dirt@984,520 state=0 crop=1
Dirt@1016,520 state=0 crop=1
Dirt@1048,520 state=0 crop=1
Dirt@1080,520 state=0 crop=1
Dirt@1112,520 state=0 crop=1
Dirt@1144,520 state=0 crop=1
Dirt@1176,520 state=0 crop=1
Dirt@1208,520 state=0 crop=1
Dirt@1240,520 state=0 crop=1
Dirt@1272,520 state=0 crop=1
Dirt@1304,520 state=0 crop=1
Dirt@1336,520 state=0 crop=1
Dirt@1368,520 state=0 crop=1
Dirt@1400,520 state=0 crop=1
Dirt@1432,520 state=0 crop=1
Dirt@1464,520 state=0 crop=1
Dirt@1496,520 state=0 crop=1
Dirt@1528,520 state=0 crop=1
Dirt@1560,520 state=0 crop=1
Dirt@1592,520 state=0 crop=1
Dirt@1624,520 state=0 crop=1
Dirt@1656,520 state=0 crop=1
Dirt@1688,520 state=0 crop=1
Dirt@1720,520 state=0 crop=1
Dirt@600,552 state=0 crop=1
Dirt@632,552 state=0 crop=1
Dirt@664,552 state=0 crop=1
Dirt@696,552 state=0 crop=1
Dirt@728,552 state=0 crop=1
Dirt@760,552 state=0 crop=1
Dirt@792,552 state=0 crop=1
Dirt@824,552 state=0 crop=1
Dirt@856,552 state=0 crop=1
Dirt@888,552 state=0 crop=1
Dirt@920,552 state=0 crop=1
Dirt@952,552 state=0 crop=1
Dirt@984,552 state=0 crop=1
Dirt@1016,552 state=0 crop=1
Dirt@1048,552 state=0 crop=1
Dirt@1080,552 state=0 crop=1
Dirt@1112,552 state=0 crop=1
Dirt@1144,552 state=0 crop=1
Dirt@1176,552 state=0 crop=1
Dirt@1208,552 state=0 crop=1
Dirt@1240,552 state=0 crop=1
Dirt@1272,552 state=0 crop=1
Dirt@1304,552 state=0 crop=1
Dirt@1336,552 state=0 crop=1
Dirt@1368,552 state=0 crop=1
Dirt@1400,552 state=0 crop=1
Dirt@1432,552 state=0 crop=1
Dirt@1464,552 state=0 crop=1
Dirt@1496,552 state=0 crop=1
Dirt@1528,552 state=0 crop=1
Dirt@1560,552 state=0 crop=1
Dirt@1592,552 state=0 crop=1
Dirt@1624,552 state=0 crop=1
Dirt@1656,552 state=0 crop=1
Dirt@1688,552 state=0 crop=1
Dirt@1720,552 state=0 crop=1
Dirt@600,584 state=0 crop=1
Dirt@632,584 state=0 crop=1
Dirt@664,584 state=0 crop=1
Dirt@696,584 state=0 crop=1
Dirt@728,584 state=0 crop=1
Dirt@760,584 state=0 crop=1
Dirt@792,584 state=0 crop=1
Dirt@824,584 state=0 crop=1
Dirt@856,584 state=0 crop=1
Dirt@888,584 state=0 crop=1
Dirt@920,584 state=0 crop=1
Dirt@952,584 state=0 crop=1
Dirt@984,584 state=0 crop=1
Dirt@1016,584 state=0 crop=1
Dirt@1048,584 state=0 crop=1
Dirt@1080,584 state=0 crop=1
Dirt@1112,584 state=0 crop=1
Dirt@1144,584 state=0 crop=1
Dirt@1176,584 state=0 crop=1
Dirt@1208,584 state=0 crop=1
Dirt@1240,584 state=0 crop=1
Dirt@1272,584 state=0 crop=1
Dirt@1304,584 state=0 crop=1
Dirt@1336,584 state=0 crop=1
Dirt@1368,584 state=0 crop=1
Dirt@1400,584 state=0 crop=1
Dirt@1432,584 state=0 crop=1
Dirt@1464,584 state=0 crop=1
Dirt@1496,584 state=0 crop=1
Dirt@1528,584 state=0 crop=1
Dirt@1560,584 state=0 crop=1
Dirt@1592,584 state=0 crop=1
Dirt@1624,584 state=0 crop=1
Dirt@1656,584 state=0 crop=1
Dirt@1688,584 state=0 crop=1
Dirt@1720,584 state=0 crop=1
Dirt@600,616 state=0 crop=1
Dirt@632,616 state=0 crop=1
Dirt@664,616 state=0 crop=1
Dirt@696,616 state=0 crop=1
Dirt@728,616 state=0 crop=1
Dirt@760,616 state=0 crop=1
Dirt@792,616 state=0 crop=1
Dirt@824,616 state=0 crop=1
Dirt@856,616 state=0 crop=1
Dirt@888,616 state=0 crop=1
Dirt@920,616 state=0 crop=1
Dirt@952,616 state=0 crop=1
Dirt@984,616 state=0 crop=1
Dirt@1016,616 state=0 crop=1
Dirt@1048,616 state=0 crop=1
Dirt@1080,616 state=0 crop=1
Dirt@1112,616 state=0 crop=1
Dirt@1144,616 state=0 crop=1
Dirt@1176,616 state=0 crop=1
Dirt@1208,616 state=0 crop=1
Dirt@1240,616 state=0 crop=1
Dirt@1272,616 state=0 crop=1
Dirt@1304,616 state=0 crop=1
Dirt@1336,616 state=0 crop=1
Dirt@1368,616 state=0 crop=1
Dirt@1400,616 state=0 crop=1
Dirt@1432,616 state=0 crop=1
Dirt@1464,616 state=0 crop=1
Dirt@1496,616 state=0 crop=1
Dirt@1528,616 state=0 crop=1
Dirt@1560,616 state=0 crop=1
Dirt@1592,616 state=0 crop=1
Dirt@1624,616 state=0 crop=1
Dirt@1656,616 state=0 crop=1
Dirt@1688,616 state=0 crop=1
Dirt@1720,616 state=0 crop=1
Dirt@600,648 state=0 crop=1
Dirt@632,648 state=0 crop=1
Dirt@664,648 state=0 crop=1
Dirt@696,648 state=0 crop=1
Dirt@728,648 state=0 crop=1
Dirt@760,648 state=0 crop=1
Dirt@792,648 state=0 crop=1
Dirt@824,648 state=0 crop=1
Dirt@856,648 state=0 crop=1
Dirt@888,648 state=0 crop=1
Dirt@920,648 state=0 crop=1
Dirt@952,648 state=0 crop=1
Dirt@984,648 state=0 crop=1
Dirt@1016,648 state=0 crop=1
Dirt@1048,648 state=0 crop=1
Dirt@1080,648 state=0 crop=1
Dirt@1112,648 state=0 crop=1
Dirt@1144,648 state=0 crop=1
Dirt@1176,648 state=0 crop=1
Dirt@1208,648 state=0 crop=1
Dirt@1240,648 state=0 crop=1
Dirt@1272,648 state=0 crop=1
Dirt@1304,648 state=0 crop=1
Dirt@1336,648 state=0 crop=1
Dirt@1368,648 state=0 crop=1
Dirt@1400,648 state=0 crop=1
Dirt@1432,648 state=0 crop=1
Dirt@1464,648 state=0 crop=1
Dirt@1496,648 state=0 crop=1
Dirt@1528,648 state=0 crop=1
Dirt@1560,648 state=0 crop=1
Dirt@1592,648 state=0 crop=1
Dirt@1624,648 state=0 crop=1
Dirt@1656,648 state=0 crop=1
Dirt@1688,648 state=0 crop=1
Dirt@1720,648 state=0 crop=1
Dirt@600,680 state=0 crop=1
Dirt@632,680 state=0 crop=1
Dirt@664,680 state=0 crop=1
Dirt@696,680 state=0 crop=1
Dirt@728,680 state=0 crop=1
Dirt@760,680 state=0 crop=1
Dirt@792,680 state=0 crop=1
Dirt@824,680 state=0 crop=1
Dirt@856,680 state=0 crop=1
Dirt@888,680 state=0 crop=1
Dirt@920,680 state=0 crop=1
Dirt@952,680 state=0 crop=1
Dirt@984,680 state=0 crop=1
Dirt@1016,680 state=0 crop=1
Dirt@1048,680 state=0 crop=1
Dirt@1080,680 state=0 crop=1
Dirt@1112,680 state=0 crop=1
Dirt@1144,680 state=0 crop=1
Dirt@1176,680 state=0 crop=1
Dirt@1208,680 state=0 crop=1
Dirt@1240,680 state=0 crop=1
Dirt@1272,680 state=0 crop=1
Dirt@1304,680 state=0 crop=1
Dirt@1336,680 state=0 crop=1
Dirt@1368,680 state=0 crop=1
Dirt@1400,680 state=0 crop=1
Dirt@1432,680 state=0 crop=1
Dirt@1464,680 state=0 crop=1
Dirt@1496,680 state=0 crop=1
Dirt@1528,680 state=0 crop=1
Dirt@1560,680 state=0 crop=1
Dirt@1592,680 state=0 crop=1
Dirt@1624,680 state=0 crop=1
Dirt@1656,680 state=0 crop=1
Dirt@1688,680 state=0 crop=1
Dirt@1720,680 state=0 crop=1
